Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1976,10,1/10/1976,1,18.8,0,0,0,460481,0,0,0
1976,11,1/11/1976,1,23.0,0,0,0,460481,0,0,0
1976,12,1/12/1976,1,26.3,3,0,10,460481,0.002171642,1,0
1977,1,1/01/1977,1,28.5,5,0,0,460481,0,0,0
1977,2,1/02/1977,1,29.0,5,0,0,460481,0,0,0
1977,3,1/03/1977,1,24.6,0,0,0,460481,0,0,0
1977,4,1/04/1977,1,20.2,0,0,34,460481,0.007383584,1,0
1977,5,1/05/1977,1,18.5,0,0,0,460481,0,0,0
1977,6,1/06/1977,1,15.3,0,0,0,460481,0,0,0
1977,7,1/07/1977,1,15.3,0,0,0,460481,0,0,0
1977,8,1/08/1977,1,19.0,0,0,0,460481,0,0,0
1977,9,1/09/1977,1,17.8,0,0,0,460481,0,0,0
1977,10,1/10/1977,1,22.5,0,0,0,460481,0,0,0
1977,11,1/11/1977,1,23.5,1,0,0,460481,0,0,0
1977,12,1/12/1977,1,27.3,5,0,1,460481,0.000217164,1,0
1978,1,1/01/1978,1,26.6,1,0,0,460481,0,0,0
1978,2,1/02/1978,1,27.1,1,0,0,460481,0,0,0
1978,3,1/03/1978,1,26.0,4,0,0,460481,0,0,0
1978,4,1/04/1978,1,22.2,0,0,0,460481,0,0,0
1978,5,1/05/1978,1,19.0,0,0,0,460481,0,0,0
1978,6,1/06/1978,1,15.5,0,0,0,460481,0,0,0
1978,7,1/07/1978,1,14.4,0,0,0,460481,0,0,0
1978,8,1/08/1978,1,14.8,0,0,0,460481,0,0,0
1978,9,1/09/1978,1,16.8,0,0,0,460481,0,0,0
1978,10,1/10/1978,1,21.3,0,0,0,460481,0,0,0
1978,11,1/11/1978,1,23.0,1,0,27,460481,0.005863434,1,0
1978,12,1/12/1978,1,25.8,1,0,15,460481,0.003257463,1,0
1979,1,1/01/1979,1,31.4,7,0,0,460481,0,0,0
1979,2,1/02/1979,1,29.1,6,0,0,460481,0,0,0
1979,3,1/03/1979,1,25.8,0,0,0,460481,0,0,0
1979,4,1/04/1979,1,20.9,0,0,0,460481,0,0,0
1979,5,1/05/1979,1,17.8,0,0,0,460481,0,0,0
1979,6,1/06/1979,1,17.4,0,0,0,460481,0,0,0
1979,7,1/07/1979,1,15.7,0,0,0,460481,0,0,0
1979,8,1/08/1979,1,15.5,0,0,0,460481,0,0,0
1979,9,1/09/1979,1,17.7,0,0,0,460481,0,0,0
1979,10,1/10/1979,1,20.0,0,0,0,460481,0,0,0
1979,11,1/11/1979,1,24.4,0,0,0,460481,0,0,0
1979,12,1/12/1979,1,25.8,3,0,7,460481,0.00152015,1,0
1980,1,1/01/1980,1,25.7,1,0,0,460481,0,0,0
1980,2,1/02/1980,1,27.8,4,0,0,460481,0,0,0
1980,3,1/03/1980,1,25.3,1,0,0,460481,0,0,0
1980,4,1/04/1980,1,24.4,0,0,0,460481,0,0,0
1980,5,1/05/1980,1,20.1,0,0,0,460481,0,0,0
1980,6,1/06/1980,1,15.8,0,0,0,460481,0,0,0
1980,7,1/07/1980,1,15.3,0,0,0,460481,0,0,0
1980,8,1/08/1980,1,17.1,0,0,0,460481,0,0,0
1980,9,1/09/1980,1,19.6,0,0,0,460481,0,0,0
1980,10,1/10/1980,1,21.6,0,0,0,460481,0,0,0
1980,11,1/11/1980,1,25.7,4,0,0,460481,0,0,0
1980,12,1/12/1980,1,28.1,6,0,2,460481,0.000434328,1,0
1981,1,1/01/1981,1,31.6,9,0,7,460481,0.00152015,1,0
1981,2,1/02/1981,1,30.0,7,0,0,460481,0,0,0
1981,3,1/03/1981,1,22.9,0,0,0,460481,0,0,0
1981,4,1/04/1981,1,24.1,0,0,0,460481,0,0,0
1981,5,1/05/1981,1,18.4,0,0,0,460481,0,0,0
1981,6,1/06/1981,1,15.6,0,0,0,460481,0,0,0
1981,7,1/07/1981,1,15.0,0,0,0,460481,0,0,0
1981,8,1/08/1981,1,15.0,0,0,0,460481,0,0,0
1981,9,1/09/1981,1,19.5,0,0,0,460481,0,0,0
1981,10,1/10/1981,1,21.2,0,0,0,460481,0,0,0
